Fixture_ID,Team_1,Team_2,Team_1_goals,Team_2_goals,ALFIE_rating,Total_goals
12612297,Old Etonians,Lancing Old Boys,0,2,2.0,2
12622548,Old Malvernians,Old Aldenhamians,4,2,3.0,6
12622549,Old Radleians,Old King's Scholars,3,1,3.0,4
12622666,Old Aldenhamians II,Old Brentwoods II,3,2,4.0,5
12622746,Old Citizens,Old Cholmeleians IV,7,1,0.0,8
12612298,Old Chigwellians,Old Brentwoods,3,0,2.0,3
12612299,Old Cholmeleians,KCS Old Boys,2,3,4.0,5
12622550,Old Aldenhamians,Old King's Scholars,5,0,0.0,5
12622551,Old Haileyburians,Old Westminsters,1,4,2.0,5
12622552,Old Radleians,Old Bradfieldians,2,3,4.0,5
12622553,Old Wykehamists,Old Salopians,1,2,4.0,3
12622610,Lancing Old Boys II,Old Carthusians II,1,0,3.0,1
12622608,Old Chigwellians II,Old Salopians II,2,0,2.0,2
12622609,Old Haberdashers,Old Cholmeleians II,1,0,3.0,1
12622611,Old Wellingtonians,Old Reptonians,1,1,4.0,2
12622667,Old Foresters II,Old Harrovians II,4,0,1.0,4
12622712,Old Westminsters II,Old Amplefordians,4,1,2.0,5
12622747,Old Brentwoods III,Old Foresters IV,2,0,2.0,2
12622748,Old Foresters III,Old Brentwoods IV,2,4,3.0,6
12612304,KCS Old Boys,Old Tonbridgians,2,2,5.0,4
12612300,Old Brentwoods,Lancing Old Boys,0,2,2.0,2
12612301,Old Cholmeleians,Old Foresters,3,0,2.0,3
12612302,Old Etonians,Old Carthusians,1,3,3.0,4
12612303,Old Harrovians,Old Chigwellians,5,4,5.0,9
12622554,Old Bradfieldians,Old Salopians,1,1,4.0,2
12622555,Old Radleians,Old Haileyburians,7,2,0.0,9
12622556,Old Wykehamists,Old Malvernians,1,2,4.0,3
12622668,Old Foresters II,Kings College Wimbledon II,3,1,3.0,4
12622713,Old Epsomians,Old Cholmeleians III,3,2,4.0,5
12622714,Old Westminsters II,Old Berkhamstedians,1,3,3.0,4
12622749,Old Foresters IV,Old Chigwellians IV,3,1,3.0,4
12612306,KCS Old Boys,Old Brentwoods,6,2,2.0,8
12612307,Lancing Old Boys,Old Chigwellians,1,0,3.0,1
12612305,Old Carthusians,Old Foresters,3,0,2.0,3
12612308,Old Tonbridgians,Old Cholmeleians,0,4,1.0,4
12622557,Old Aldenhamians,Old Radleians,4,1,2.0,5
12622558,Old King's Scholars,Old Bradfieldians,0,4,1.0,4
12622559,Old Malvernians,Old Westminsters,3,1,3.0,4
12622560,Old Wykehamists,Old Haileyburians,2,2,5.0,4
12622612,Old Chigwellians II,Old Carthusians III,4,5,5.0,9
12622613,Old Haberdashers,Old Reptonians,2,5,2.0,7
12622614,Old Salopians II,Old Carthusians II,0,2,2.0,2
12622615,Old Wellingtonians,Old Cholmeleians II,3,2,4.0,5
12622669,Old Foresters II,Old Etonians II,1,1,4.0,2
12622670,Old Harrovians II,Old Aldenhamians II,0,3,2.0,3
12622671,Old Wykehamists II,Kings College Wimbledon II,2,2,5.0,4
12622715,Old Eastbournians,Old Westminsters II,1,1,4.0,2
12622716,Old Epsomians,Old Berkhamstedians,1,2,4.0,3
12622750,Old Foresters IV,Old Cholmeleians IV,3,1,3.0,4
12622751,Old Malvernians II,Old Citizens,2,1,4.0,3
12612309,Old Chigwellians,KCS Old Boys,4,0,1.0,4
12612310,Old Etonians,Old Tonbridgians,3,3,5.0,6
12612311,Old Harrovians,Lancing Old Boys,2,5,2.0,7
12622561,Old Bradfieldians,Old Westminsters,3,3,5.0,6
12622562,Old Haileyburians,Old Malvernians,2,3,4.0,5
12622563,Old Wykehamists,Old Radleians,1,0,3.0,1
12622617,Lancing Old Boys II,Old Reptonians,1,1,4.0,2
12622616,Old Carthusians II,Old Haberdashers,2,5,2.0,7
12622618,Old Wellingtonians,Old Salopians II,1,1,4.0,2
12622672,Old Aldenhamians II,Kings College Wimbledon II,5,0,0.0,5
12622717,Old Amplefordians,Old Chigwellians III,1,3,3.0,4
12622718,Old Cholmeleians III,Old Eastbournians,0,1,3.0,1
12622752,Old Cholmeleians IV,Old Chigwellians IV,1,0,3.0,1
12612314,Lancing Old Boys,Old Brentwoods,5,1,2.0,6
12612312,Old Carthusians,Old Chigwellians,2,1,4.0,3
12612313,Old Cholmeleians,Old Etonians,3,2,4.0,5
12622564,Old Aldenhamians,Old Westminsters,1,0,3.0,1
12622565,Old King's Scholars,Old Radleians,1,4,2.0,5
12622619,Lancing Old Boys II,Old Salopians II,1,1,4.0,2
12622566,Old Salopians,Old Haileyburians,4,1,2.0,5
12622567,Old Westminsters,Old King's Scholars,3,0,2.0,3
12622673,Old Marlburians,Old Wykehamists II,3,0,2.0,3
12622719,Old Westminsters II,Old Chigwellians III,1,3,3.0,4
12622753,Old Malvernians II,Old Foresters III,6,2,2.0,8
12612316,Lancing Old Boys,Old Tonbridgians,5,2,2.0,7
12612315,Old Harrovians,Old Carthusians,3,4,4.0,7
12622568,Old Bradfieldians,Old Haileyburians,3,2,4.0,5
12622569,Old Radleians,Old Westminsters,1,3,3.0,4
12622622,Lancing Old Boys II,Old Cholmeleians II,1,0,3.0,1
12622620,Old Carthusians III,Old Chigwellians II,1,0,3.0,1
12622621,Old Haberdashers,Old Salopians II,2,4,3.0,6
12622623,Old Wellingtonians,Old Carthusians II,1,3,3.0,4
12622674,Old Etonians II,Old Marlburians,2,4,3.0,6
12622675,Old Foresters II,Old Aldenhamians II,0,0,4.0,0
12622720,Old Berkhamstedians,Old Epsomians,2,3,4.0,5
12622721,Old Chigwellians III,Old Cholmeleians III,0,1,3.0,1
12622754,Old Foresters III,Old Chigwellians IV,5,0,0.0,5
12612317,Old Chigwellians,Old Carthusians,0,1,3.0,1
12612318,Old Harrovians,Old Brentwoods,3,0,2.0,3
12612319,Old Tonbridgians,Old Etonians,1,2,4.0,3
12622570,Old King's Scholars,Old Salopians,1,4,2.0,5
