Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games 
Old Amplefordians,KCS Old Boys II,1,4,5,2.0,1
Old Amplefordians,Kings College Wimbledon III,10,10,20,3.8,5
Old Amplefordians,Lancing Old Boys,1,12,13,1.0,1
Old Amplefordians,Old Alleynians AFC,4,5,9,5.0,1
Old Amplefordians,Old Alleynians AFC II,17,21,38,4.8,5
Old Amplefordians,Old Alleynians AFC III,5,8,13,2.0,3
Old Amplefordians,Old Ardinians,3,8,11,2.0,2
Old Amplefordians,Old Ardinians II,10,9,19,3.5,4
Old Amplefordians,Old Bancroftians AFC,5,5,10,5.0,2
Old Amplefordians,Old Berkhamstedians,8,15,23,3.0,3
Old Amplefordians,Old Berkhamstedians II,19,32,51,3.5,12
Old Amplefordians,Old Brentwoods III,17,40,57,2.1,10
Old Amplefordians,Old Brentwoods IV,9,14,23,1.75,4
Old Amplefordians,Old Canfordians,0,3,3,2.0,1
Old Amplefordians,Old Chigwellians III,15,11,26,2.6666666666666665,6
Old Amplefordians,Old Cholmeleians II,0,2,2,2.0,1
Old Amplefordians,Old Cholmeleians III,5,12,17,2.25,4
Old Amplefordians,Old Cholmeleians IV,4,1,5,3.0,2
Old Amplefordians,Old Eastbournians,18,24,42,3.75,8
Old Amplefordians,Old Epsomians,5,7,12,4.0,2
Old Amplefordians,Old Epsomians II,5,0,5,2.0,2
Old Amplefordians,Old Foresters III,14,3,17,2.3333333333333335,3
Old Amplefordians,Old Haberdashers,10,19,29,2.4,5
Old Amplefordians,Old Harrovians III,28,18,46,2.3636363636363638,11
Old Amplefordians,Old Harrovians IV,3,1,4,3.0,1
Old Amplefordians,Old Johnians FC,3,11,14,1.0,2
Old Amplefordians,Old Johnians II,4,3,7,4.0,1
Old Amplefordians,Old Kimboltonians,3,12,15,1.0,2
Old Amplefordians,Old King's Scholars,25,29,54,3.8,10
Old Amplefordians,Old Kingstonians,14,7,21,3.4,5
Old Amplefordians,Old Kingstonians KGS,12,19,31,3.0,5
Old Amplefordians,Old Malvernians II,14,4,18,2.5,4
Old Amplefordians,Old Merchant Taylors,0,3,3,2.0,1
Old Amplefordians,Old Millfieldians,1,15,16,0.0,2
Old Amplefordians,Old Millhillians,9,9,18,4.0,2
Old Amplefordians,Old Oundelians,1,13,14,1.0,2
Old Amplefordians,Old Radleians,4,5,9,5.0,1
Old Amplefordians,Old Reptonians,0,4,4,1.0,1
Old Amplefordians,Old Rugbeians,7,8,15,4.0,4
Old Amplefordians,Old Salopians,1,2,3,4.0,1
Old Amplefordians,Old Salopians II,14,5,19,1.6666666666666667,3
Old Amplefordians,Old Sennockians,7,21,28,2.0,5
Old Amplefordians,Old Shirburnians,4,11,15,3.0,4
Old Amplefordians,Old Stoics,25,19,44,3.0,7
Old Amplefordians,Old Suttonians SV,8,8,16,2.5,2
Old Amplefordians,Old Tonbridgians II,11,11,22,3.1666666666666665,6
Old Amplefordians,Old Wellingtonians,12,13,25,2.25,4
Old Amplefordians,Old Westminsters II,46,48,94,2.857142857142857,21
Old Amplefordians,Old Wykehamists II,24,18,42,3.7777777777777777,9
Old Ardinians,Bank of England,2,4,6,3.0,1
Old Ardinians,Glyn Old Boys,2,4,6,3.0,1
Old Ardinians,Icarus,0,2,2,2.0,1
Old Ardinians,Kings College Wimbledon II,12,5,17,3.0,3
Old Ardinians,Lancing Old Boys,10,2,12,2.5,2
Old Ardinians,Lancing Old Boys II,13,4,17,2.3333333333333335,3
Old Ardinians,Old Albanians,12,6,18,3.5,4
Old Ardinians,Old Albanians SA,7,2,9,0.0,1
Old Ardinians,Old Aldenhamians,10,4,14,2.5,2
Old Ardinians,Old Alleynians II,6,6,12,3.6666666666666665,3
Old Ardinians,Old Alleynians III,11,1,12,0.0,2
Old Ardinians,Old Amplefordians,8,3,11,2.0,2
Old Ardinians,Old Ardinians II,0,0,0,4.0,1
Old Ardinians,Old Berkhamstedians,10,9,19,5.5,2
Old Ardinians,Old Berkhamstedians II,3,0,3,2.0,1
Old Ardinians,Old Blues,0,2,2,2.0,1
Old Ardinians,Old Bradfieldians,3,5,8,4.0,1
Old Ardinians,Old Brentwoods,1,2,3,4.0,1
Old Ardinians,Old Brentwoods II,9,2,11,2.0,2
Old Ardinians,Old Carthusians,3,3,6,5.0,1
Old Ardinians,Old Carthusians II,11,2,13,1.0,2
Old Ardinians,Old Chigwellians,3,1,4,3.0,1
Old Ardinians,Old Chigwellians II,10,3,13,1.5,2
Old Ardinians,Old Cholmeleians II,5,4,9,2.3333333333333335,3
Old Ardinians,Old Eastbournians,7,0,7,0.0,1
Old Ardinians,Old Epsomians,10,7,17,4.25,4
Old Ardinians,Old Etonians,1,5,6,2.0,1
Old Ardinians,Old Etonians II,10,4,14,3.25,4
Old Ardinians,Old Foresters,2,4,6,3.0,1
Old Ardinians,Old Foresters II,2,7,9,0.0,1
Old Ardinians,Old Haberdashers,10,2,12,0.0,1
Old Ardinians,Old Harrovians,8,6,14,2.5,2
Old Ardinians,Old Harrovians III,12,1,13,0.0,2
Old Ardinians,Old Kimboltonians,16,9,25,3.6,5
Old Ardinians,Old King's Scholars,10,1,11,1.0,2
Old Ardinians,Old Kingstonians,4,0,4,1.0,1
Old Ardinians,Old Kingstonians KGS,5,2,7,3.3333333333333335,3
Old Ardinians,Old Marlburians,3,6,9,3.0,2
Old Ardinians,Old Merchant Taylors,4,2,6,4.0,2
Old Ardinians,Old Merchant Taylors II,4,2,6,3.0,1
Old Ardinians,Old Merchant Taylors',5,0,5,0.0,1
Old Ardinians,Old Parmiterians,0,3,3,2.0,1
Old Ardinians,Old Radleians,4,5,9,5.0,1
Old Ardinians,Old Rugbeians,9,5,14,3.5,2
Old Ardinians,Old Salopians,12,3,15,2.0,3
Old Ardinians,Old Salopians II,4,0,4,2.5,2
Old Ardinians,Old Sennockians,1,5,6,2.0,1
Old Ardinians,Old Shirburnians,3,5,8,2.6666666666666665,3
Old Ardinians,Old Stoics,10,5,15,2.0,4
Old Ardinians,Old Suttonians SV,0,3,3,2.0,1
Old Ardinians,Old Tonbridgians,2,3,5,4.0,1
Old Ardinians,Old Tonbridgians II,10,1,11,1.0,2
Old Ardinians,Old Wellingtonians,8,3,11,1.3333333333333333,3
Old Ardinians,Old Westminsters,2,1,3,4.0,1
Old Ardinians,Old Westminsters II,4,6,10,2.6666666666666665,3
Old Ardinians,Old Wykehamists,3,0,3,2.0,1
Old Ardinians,Old Wykehamists II,5,5,10,4.0,2
Old Ardinians,Weirside Rangers,3,2,5,4.0,1
Old Ardinians II,Old Amplefordians,9,10,19,3.5,4
Old Ardinians II,Old Ardinians,0,0,0,4.0,1
Old Ardinians II,Old Berkhamstedians II,5,20,25,2.0,4
Old Ardinians II,Old Brentwoods III,0,9,9,0.0,1
Old Ardinians II,Old Eastbournians,5,6,11,2.5,2
Old Ardinians II,Old Haberdashers,3,6,9,3.0,1
Old Ardinians II,Old Harrovians III,4,5,9,3.5,2
Old Ardinians II,Old King's Scholars,8,7,15,5.0,2
Old Ardinians II,Old Kingstonians,5,4,9,4.5,2
Old Ardinians II,Old Salopians II,6,1,7,2.0,2
Old Ardinians II,Old Stoics,5,1,6,2.0,1
Old Ardinians II,Old Wellingtonians,5,14,19,1.5,2
Old Ardinians II,Old Westminsters II,6,5,11,4.5,2
Old Ardinians II,Old Wykehamists II,6,6,12,2.0,2
Old Bancroftians,Little Heath,3,2,5,4.0,1
Old Bancroftians,Old Albanians SA,3,4,7,2.5,2
Old Bancroftians,Old Brentwoods IV,8,1,9,0.0,1
Old Bancroftians,Old Foresters,0,10,10,0.0,1
Old Bancroftians,Old Haberdashers,3,8,11,1.5,2
Old Bancroftians AFC,Bancroft's School 1st XI,12,1,13,1.3333333333333333,3
Old Bancroftians AFC,Bealonians,5,0,5,0.0,1
Old Bancroftians AFC,Egbertian FC,3,2,5,4.0,1
Old Bancroftians AFC,Kings College Wimbledon III,2,7,9,2.5,2
Old Bancroftians AFC,Leyton County Old Boys,3,1,4,3.0,1
Old Bancroftians AFC,Old Alleynians AFC,1,4,5,2.0,1
Old Bancroftians AFC,Old Alleynians AFC II,12,8,20,3.0,6
Old Bancroftians AFC,Old Amplefordians,5,5,10,5.0,2
Old Bancroftians AFC,Old Berkhamstedians,3,9,12,2.5,2
Old Bancroftians AFC,Old Brentwoods II,5,7,12,4.0,3
Old Bancroftians AFC,Old Brentwoods III,11,3,14,2.6666666666666665,6
Old Bancroftians AFC,Old Brentwoods IV,3,3,6,2.5,2
Old Bancroftians AFC,Old Buckwellians,0,5,5,0.0,1
Old Bancroftians AFC,Old Carthusians III,0,5,5,0.0,1
Old Bancroftians AFC,Old Chigwellians III,6,4,10,4.0,4
Old Bancroftians AFC,Old Cholmeleians,3,5,8,4.0,1
Old Bancroftians AFC,Old Cholmeleians II,8,2,10,2.5,2
Old Bancroftians AFC,Old Cholmeleians IV,28,4,32,1.2,5
Old Bancroftians AFC,Old Citizens,1,10,11,1.5,2
Old Bancroftians AFC,Old Columbans,4,8,12,3.0,2
Old Bancroftians AFC,Old Eastbournians,9,8,17,2.75,4
Old Bancroftians AFC,Old Etonians II,0,6,6,0.0,1
Old Bancroftians AFC,Old Finchleians,0,3,3,2.0,1
Old Bancroftians AFC,Old Foresters III,8,7,15,2.25,4
Old Bancroftians AFC,Old Haberdashers,8,9,17,3.0,4
Old Bancroftians AFC,Old Harrovians III,18,19,37,2.7,10
Old Bancroftians AFC,Old Johnians FC,3,5,8,3.5,2
Old Bancroftians AFC,Old Kimboltonians,3,10,13,2.0,2
Old Bancroftians AFC,Old King's Scholars,7,4,11,3.25,4
Old Bancroftians AFC,Old Malvernians II,2,3,5,4.0,2
Old Bancroftians AFC,Old Marlburians,1,2,3,4.0,1
Old Bancroftians AFC,Old Merchant Taylors,15,12,27,3.625,8
Old Bancroftians AFC,Old Merchant Taylors II,10,9,19,3.75,4
Old Bancroftians AFC,Old Millfieldians,1,3,4,3.0,1
Old Bancroftians AFC,Old Millhillians,2,0,2,2.0,1
Old Bancroftians AFC,Old Oundelians,2,5,7,2.0,1
Old Bancroftians AFC,Old Parmiterians,7,1,8,0.0,1
Old Bancroftians AFC,Old Reptonians,1,4,5,2.0,1
Old Bancroftians AFC,Old Rugbeians,1,15,16,1.3333333333333333,3
Old Bancroftians AFC,Old Salopians II,2,3,5,4.0,2
Old Bancroftians AFC,Old Salvatorians,0,5,5,0.0,1
Old Bancroftians AFC,Old Shirburnians,2,9,11,1.0,2
Old Bancroftians AFC,Old Stoics,17,21,38,3.0,10
Old Bancroftians AFC,Old Suttonians,1,0,1,3.0,1
Old Bancroftians AFC,Old Suttonians SV,13,16,29,2.8333333333333335,6
Old Bancroftians AFC,Old Tonbridgians II,8,16,24,2.75,8
Old Bancroftians AFC,Old Westminsters II,2,3,5,4.0,2
Old Bancroftians AFC,Old Wykehamists II,12,8,20,3.75,4
Old Bancroftians AFC,Somerville Old Boys,0,1,1,3.0,1
Old Bancroftians AFC,St. James' Old Boys,2,5,7,2.0,1
Old Bancroftians AFC,UCL Academicals IV,0,2,2,2.0,1
Old Bancroftians AFC,UCL Academicals V,1,0,1,3.0,1
Old Barryians,Old Brentwoods II,5,0,5,0.0,1
Old Barryians,Old Merchant Taylors' II,2,2,4,5.0,1
Old Barryians,Old Millfieldians,3,5,8,4.0,1
Old Barryians,Old Wykehamists,1,0,1,3.0,1
Old Berkhamstedians,Kings College Wimbledon II,18,16,34,3.142857142857143,7
Old Berkhamstedians,Lancing Old Boys,34,31,65,3.3076923076923075,13
Old Berkhamstedians,Lancing Old Boys II,3,7,10,3.0,4
Old Berkhamstedians,Northchurch Baptist Church FC,4,2,6,3.0,1
Old Berkhamstedians,Old Albanians,5,3,8,4.0,2
Old Berkhamstedians,Old Aldenhamians,41,21,62,2.4,10
Old Berkhamstedians,Old Aldenhamians II,6,0,6,1.5,2
Old Berkhamstedians,Old Alleynians,2,5,7,2.0,1
Old Berkhamstedians,Old Alleynians AFC,3,5,8,3.0,2
Old Berkhamstedians,Old Alleynians II,5,11,16,3.2,5
Old Berkhamstedians,Old Amplefordians,15,8,23,3.0,3
Old Berkhamstedians,Old Ardinians,9,10,19,5.5,2
Old Berkhamstedians,Old Bancroftians AFC,9,3,12,2.5,2
Old Berkhamstedians,Old Bradfieldians,3,7,10,3.0,2
Old Berkhamstedians,Old Brentwoods,8,19,27,3.0,4
Old Berkhamstedians,Old Brentwoods II,16,18,34,3.3333333333333335,6
Old Berkhamstedians,Old Canfordians,5,2,7,2.0,1
Old Berkhamstedians,Old Carthusians,0,3,3,2.0,1
Old Berkhamstedians,Old Carthusians II,9,8,17,3.0,4
Old Berkhamstedians,Old Carthusians III,9,10,19,3.4,5
Old Berkhamstedians,Old Chigwellians,4,18,22,2.2,5
Old Berkhamstedians,Old Chigwellians II,15,5,20,1.5,4
Old Berkhamstedians,Old Chigwellians III,13,4,17,2.3333333333333335,3
Old Berkhamstedians,Old Cholmeleians,19,31,50,3.1,10
Old Berkhamstedians,Old Cholmeleians II,7,1,8,2.6666666666666665,3
Old Berkhamstedians,Old Cholmeleians III,6,4,10,3.25,4
Old Berkhamstedians,Old Citizens,8,1,9,1.5,2
Old Berkhamstedians,Old Eastbournians,7,6,13,2.6666666666666665,3
Old Berkhamstedians,Old Epsomians,17,9,26,3.142857142857143,7
Old Berkhamstedians,Old Etonians II,22,21,43,3.2,10
Old Berkhamstedians,Old Foresters,4,7,11,3.5,2
Old Berkhamstedians,Old Foresters II,14,14,28,2.5,6
Old Berkhamstedians,Old Haberdashers,3,0,3,2.0,1
Old Berkhamstedians,Old Haileyburians,22,2,24,0.5,2
Old Berkhamstedians,Old Harrovians,19,22,41,3.8333333333333335,6
Old Berkhamstedians,Old Harrovians II,19,9,28,2.6,5
Old Berkhamstedians,Old Johnians,2,6,8,3.0,2
Old Berkhamstedians,Old Kimboltonians,5,6,11,4.5,2
Old Berkhamstedians,Old Malvernians,22,16,38,3.2,10
Old Berkhamstedians,Old Malvernians II,5,2,7,2.0,1
Old Berkhamstedians,Old Marlburians,19,32,51,2.5555555555555554,9
Old Berkhamstedians,Old Merchant Taylors,6,4,10,2.0,2
Old Berkhamstedians,Old Millfieldians,6,8,14,3.8,5
Old Berkhamstedians,Old Radleians,11,11,22,4.2,5
Old Berkhamstedians,Old Reptonians,25,39,64,2.3333333333333335,12
Old Berkhamstedians,Old Rugbeians,9,16,25,3.6,5
Old Berkhamstedians,Old Salopians,11,17,28,3.1666666666666665,6
Old Berkhamstedians,Old Salopians II,7,2,9,3.0,2
Old Berkhamstedians,Old Sedcopians,0,4,4,1.0,1
Old Berkhamstedians,Old Sennockians,8,8,16,4.0,3
Old Berkhamstedians,Old Stoics,4,1,5,2.0,1
Old Berkhamstedians,Old Suttonians,2,3,5,4.0,1
Old Berkhamstedians,Old Suttonians SV,12,3,15,0.5,2
Old Berkhamstedians,Old Tonbridgians,0,2,2,2.0,1
Old Berkhamstedians,Old Tonbridgians II,2,3,5,4.0,1
Old Berkhamstedians,Old Wellingtonians,8,2,10,2.0,2
Old Berkhamstedians,Old Westminsters,35,38,73,3.2,15
Old Berkhamstedians,Old Westminsters II,5,2,7,3.5,2
Old Berkhamstedians,Old Wykehamists,7,11,18,2.5,4
Old Berkhamstedians,Old Wykehamists II,5,6,11,5.0,2
Old Berkhamstedians,Spaniards,4,4,8,6.0,1
Old Berkhamstedians,Witan,3,2,5,4.0,1
Old Berkhamstedians II,Old Albanians,0,0,0,4.0,1
Old Berkhamstedians II,Old Alleynians AFC III,5,12,17,2.0,2
Old Berkhamstedians II,Old Alleynians II,0,0,0,4.0,1
Old Berkhamstedians II,Old Alleynians III,3,0,3,2.0,1
Old Berkhamstedians II,Old Amplefordians,32,19,51,3.5,12
Old Berkhamstedians II,Old Ardinians,0,3,3,2.0,1
Old Berkhamstedians II,Old Ardinians II,20,5,25,2.0,4
Old Berkhamstedians II,Old Brentwoods III,15,9,24,3.0,6
Old Berkhamstedians II,Old Brentwoods IV,6,3,9,3.5,2
Old Berkhamstedians II,Old Carthusians II,2,2,4,5.0,1
Old Berkhamstedians II,Old Cheltonians,1,4,5,2.0,1
Old Berkhamstedians II,Old Chigwellians II,1,2,3,3.5,2
Old Berkhamstedians II,Old Cholmeleians II,2,4,6,3.0,1
Old Berkhamstedians II,Old Columbans,2,8,10,0.0,1
Old Berkhamstedians II,Old Eastbournians,17,17,34,2.8333333333333335,6
Old Berkhamstedians II,Old Haberdashers,12,15,27,3.5,6
Old Berkhamstedians II,Old Harrovians II,1,2,3,4.0,2
Old Berkhamstedians II,Old Harrovians III,14,5,19,3.0,5
Old Berkhamstedians II,Old King's Scholars,11,10,21,3.1666666666666665,6
Old Berkhamstedians II,Old Kingstonians,18,3,21,1.5,4
Old Berkhamstedians II,Old Kingstonians KGS,13,12,25,2.8,5
Old Berkhamstedians II,Old Rugbeians II,5,2,7,2.0,1
Old Berkhamstedians II,Old Salopians II,11,9,20,3.75,4
Old Berkhamstedians II,Old Sennockians,7,5,12,4.0,2
Old Berkhamstedians II,Old Shirburnians,4,5,9,2.5,2
Old Berkhamstedians II,Old Stoics,5,5,10,3.6666666666666665,3
Old Berkhamstedians II,Old Tonbridgians II,4,2,6,3.5,2
Old Berkhamstedians II,Old Wellingtonians,27,9,36,2.4,5
Old Berkhamstedians II,Old Westminsters II,21,22,43,3.111111111111111,9
Old Berkhamstedians II,Old Wykehamists II,25,19,44,3.5,8
Old Berkhamstedians Vets,Old Aldenhamians Vets,4,2,6,3.0,1
Old Berkhamstedians Vets,Old Carthusians Vets,0,2,2,2.0,1
Old Berkhamstedians Vets,Old Etonians Vets,1,1,2,3.0,2
Old Berkhamstedians Vets,Old Wellingtonians Vets,1,7,8,2.0,2
Old Berkhamstedians Vets,Old Westminsters Vets,2,1,3,4.0,1
Old Blues,KCS Old Boys,0,4,4,1.0,1
Old Blues,Lancing Old Boys,1,1,2,4.0,1
Old Blues,Lancing Old Boys II,3,1,4,3.0,1
Old Blues,Old Ardinians,2,0,2,2.0,1
Old Blues,Old Brentwoods,0,1,1,3.0,1
Old Blues,Old Carthusians,0,4,4,1.0,1
Old Blues,Old Etonians II,0,7,7,0.0,1
Old Blues II,Old King's Scholars,0,2,2,2.0,1
Old Boilers FC,Old Haileyburians,5,0,5,0.0,1
Old Bradfieldians,Alexandra Park FC,1,0,1,3.0,1
Old Bradfieldians,Bradfield College,10,4,14,3.25,4
Old Bradfieldians,KCS Old Boys,31,61,92,2.75,16
Old Bradfieldians,Old Aldenhamians,36,23,59,2.6666666666666665,12
Old Bradfieldians,Old Alleynians,25,36,61,3.111111111111111,9
Old Bradfieldians,Old Alleynians AFC,3,6,9,3.5,2
Old Bradfieldians,Old Aloysians,0,3,3,2.0,1
Old Bradfieldians,Old Ardinians,5,3,8,4.0,1
Old Bradfieldians,Old Berkhamstedians,7,3,10,3.0,2
Old Bradfieldians,Old Brentwoods,26,38,64,2.230769230769231,13
Old Bradfieldians,Old Carthusians,17,27,44,3.0833333333333335,12
Old Bradfieldians,Old Chigwellians,30,23,53,2.6,10
Old Bradfieldians,Old Cholmeleians,28,14,42,2.888888888888889,9
Old Bradfieldians,Old Eastbournians,15,2,17,2.0,3
Old Bradfieldians,Old Epsomians,10,0,10,0.0,1
Old Bradfieldians,Old Etonians,32,28,60,3.7142857142857144,14
Old Bradfieldians,Old Foresters,43,31,74,2.8333333333333335,12
Old Bradfieldians,Old Haberdashers,2,1,3,4.0,1
Old Bradfieldians,Old Haileyburians,23,17,40,2.875,8
Old Bradfieldians,Old Harrovians,43,22,65,1.8,10
Old Bradfieldians,Old Johnians,3,2,5,4.0,1
Old Bradfieldians,Old Kimboltonians,3,1,4,3.0,1
Old Bradfieldians,Old King's Scholars,16,3,19,2.0,4
Old Bradfieldians,Old Kingstonians,8,0,8,0.0,1
Old Bradfieldians,Old Malvernians,33,27,60,3.1,10
Old Bradfieldians,Old Marlburians,1,7,8,2.0,2
Old Bradfieldians,Old Millfieldians,6,7,13,0.0,2
Old Bradfieldians,Old Radleians,26,23,49,3.9,10
Old Bradfieldians,Old Reptonians,34,43,77,3.0,17
Old Bradfieldians,Old Rugbeians,5,1,6,2.0,1
Old Bradfieldians,Old Salopians,14,10,24,3.857142857142857,7
Old Bradfieldians,Old Shirburnians,7,1,8,2.0,2
Old Bradfieldians,Old Suttonians,9,3,12,0.0,1
Old Bradfieldians,Old Tonbridgians,24,29,53,3.2142857142857144,14
Old Bradfieldians,Old Wellingtonians,22,13,35,2.8333333333333335,6
Old Bradfieldians,Old Westminsters,26,15,41,2.875,8
Old Bradfieldians,Old Wykehamists,52,34,86,2.9411764705882355,17
Old Bradfieldians Vets,Lancing Old Boys Vets,1,8,9,1.5,2
Old Bradfieldians Vets,Old Aldenhamians Vets,8,1,9,0.0,1
Old Bradfieldians Vets,Old Carthusians Vets,6,4,10,2.6666666666666665,3
Old Bradfieldians Vets,Old Chigwellians Vets,11,7,18,2.0,3
Old Bradfieldians Vets,Old Etonians Vets,1,4,5,3.0,2
Old Bradfieldians Vets,Old Foresters Vets,0,2,2,2.0,1
Old Bradfieldians Vets,Old Haileyburians Vets,1,0,1,3.0,1
Old Bradfieldians Vets,Old Malvernians Vets,5,7,12,4.5,2
Old Bradfieldians Vets,Old Reptonians Vets,2,0,2,2.0,1
Old Bradfieldians Vets,Old Salopians Vets,12,16,28,3.4,5
Old Bradfieldians Vets,Old Wellingtonians Vets,12,9,21,2.6666666666666665,3
Old Bradfieldians Vets,Old Westminsters Vets,4,2,6,2.5,2
Old Bradfieldians Vets,Old Wykehamists Veterans,6,0,6,0.0,1
Old Brentwoods,Bealonians,1,8,9,2.6666666666666665,3
Old Brentwoods,Brentwood School 1st XI,32,17,49,3.1333333333333333,15
Old Brentwoods,Crouch End Vampires,4,1,5,2.0,1
Old Brentwoods,Enfield Old Grammarians,4,2,6,3.0,1
Old Brentwoods,Globe Rangers,5,2,7,2.0,1
Old Brentwoods,Harold Wood FC,7,1,8,0.0,1
Old Brentwoods,KCS Old Boys,24,42,66,2.933333333333333,15
Old Brentwoods,Lancing Old Boys,36,30,66,2.1666666666666665,12
Old Brentwoods,Mayfield,9,7,16,3.5,2
Old Brentwoods,Old Aldenhamians,31,4,35,0.5,4
Old Brentwoods,Old Alleynians,16,23,39,2.888888888888889,9
Old Brentwoods,Old Alleynians AFC,4,0,4,1.0,1
Old Brentwoods,Old Aloysians,2,3,5,4.0,1
Old Brentwoods,Old Ardinians,2,1,3,4.0,1
Old Brentwoods,Old Berkhamstedians,19,8,27,3.0,4
Old Brentwoods,Old Blues,1,0,1,3.0,1
Old Brentwoods,Old Bradfieldians,38,26,64,2.230769230769231,13
Old Brentwoods,Old Brentwoods II,1,0,1,3.0,1
Old Brentwoods,Old Carthusians,18,61,79,2.3684210526315788,19
Old Brentwoods,Old Chigwellians,25,25,50,3.272727272727273,11
Old Brentwoods,Old Cholmeleians,38,32,70,3.25,16
Old Brentwoods,Old Columbans,0,1,1,3.0,1
Old Brentwoods,Old Etonians,42,43,85,3.25,20
Old Brentwoods,Old Finchleians,6,4,10,4.0,1
Old Brentwoods,Old Foresters,34,48,82,2.7,20
Old Brentwoods,Old Garchonians,1,4,5,2.0,1
Old Brentwoods,Old Haileyburians,16,2,18,2.0,2
Old Brentwoods,Old Harrovians,35,36,71,2.6875,16
Old Brentwoods,Old Kimboltonians,4,1,5,2.0,1
Old Brentwoods,Old Malvernians,32,12,44,2.75,8
Old Brentwoods,Old Marlburians,26,15,41,2.1666666666666665,6
Old Brentwoods,Old Parkonians,6,5,11,3.5,2
Old Brentwoods,Old Parmiterians,2,1,3,4.0,1
Old Brentwoods,Old Pauline,2,0,2,2.0,1
Old Brentwoods,Old Radleians,24,5,29,1.5,4
Old Brentwoods,Old Reptonians,34,16,50,2.6666666666666665,12
Old Brentwoods,Old Rugbeians,6,3,9,3.0,1
Old Brentwoods,Old Salopians,12,20,32,2.8181818181818183,11
Old Brentwoods,Old Sedcopians,4,2,6,3.0,1
Old Brentwoods,Old Sennockians,5,0,5,0.0,1
Old Brentwoods,Old Suttonians,4,8,12,3.5,2
Old Brentwoods,Old Tonbridgians,37,36,73,2.857142857142857,14
Old Brentwoods,Old Wellingtonians,14,5,19,2.75,4
Old Brentwoods,Old Westminsters,13,11,24,2.5,4
Old Brentwoods,Old Wilsonians,2,1,3,4.0,1
Old Brentwoods,Old Wykehamists,40,36,76,2.9166666666666665,12
Old Brentwoods,Polytechnic,2,3,5,4.0,1
Old Brentwoods,UCL Academicals,0,3,3,2.0,1
Old Brentwoods,Weirside Rangers,3,1,4,3.0,1
Old Brentwoods,West Wickham,1,6,7,0.0,1
Old Brentwoods,Winchmore Hill,0,1,1,3.0,1
Old Brentwoods II,Alleyn Old Boys,1,3,4,3.0,1
Old Brentwoods II,Bealonians,5,1,6,2.0,1
Old Brentwoods II,Bealonians II,4,2,6,3.0,1
Old Brentwoods II,Brentwood School 2nd XI,41,42,83,2.066666666666667,15
Old Brentwoods II,East Barnet Old Grammarians,5,1,6,2.0,1
Old Brentwoods II,Hale End Athletic,4,3,7,4.0,1
Old Brentwoods II,KCS Old Boys II,10,5,15,2.3333333333333335,3
Old Brentwoods II,Kings College Wimbledon II,34,30,64,2.9166666666666665,12
Old Brentwoods II,Kings Old Boys,0,2,2,2.0,1
Old Brentwoods II,Lancing Old Boys,5,0,5,2.0,2
Old Brentwoods II,Old Albanians,2,8,10,2.0,2
Old Brentwoods II,Old Albanians SA,2,4,6,3.5,2
Old Brentwoods II,Old Aldenhamians,2,2,4,5.0,1
Old Brentwoods II,Old Aldenhamians II,6,5,11,3.3333333333333335,3
Old Brentwoods II,Old Alleynians AFC,2,4,6,3.0,1
Old Brentwoods II,Old Alleynians AFC II,9,9,18,3.0,5
Old Brentwoods II,Old Alleynians II,2,18,20,1.0,4
Old Brentwoods II,Old Alleynians III,19,23,42,2.1666666666666665,6
Old Brentwoods II,Old Aloysians,3,2,5,4.0,1
Old Brentwoods II,Old Ardinians,2,9,11,2.0,2
Old Brentwoods II,Old Bancroftians AFC,7,5,12,4.0,3
Old Brentwoods II,Old Barryians,0,5,5,0.0,1
Old Brentwoods II,Old Berkhamstedians,18,16,34,3.3333333333333335,6
Old Brentwoods II,Old Brentwoods,0,1,1,3.0,1
Old Brentwoods II,Old Brentwoods III,13,7,20,3.4,5
Old Brentwoods II,Old Carthusians II,19,18,37,2.875,8
Old Brentwoods II,Old Carthusians III,3,2,5,4.0,1
Old Brentwoods II,Old Chigwellians II,1,1,2,4.0,1
Old Brentwoods II,Old Chigwellians III,10,8,18,3.0,5
Old Brentwoods II,Old Cholmeleians II,14,20,34,3.2857142857142856,7
Old Brentwoods II,Old Cholmeleians III,5,6,11,2.75,4
Old Brentwoods II,Old Citizens,7,10,17,2.5,4
Old Brentwoods II,Old Columbans,1,11,12,2.0,4
Old Brentwoods II,Old Eastbournians,9,11,20,2.5,4
Old Brentwoods II,Old Epsomians,25,34,59,2.1,10
Old Brentwoods II,Old Epsomians II,3,4,7,1.5,2
Old Brentwoods II,Old Etonians II,4,10,14,3.2,5
Old Brentwoods II,Old Finchleians II,3,1,4,3.0,1
Old Brentwoods II,Old Foresters II,14,12,26,2.8,5
Old Brentwoods II,Old Foresters III,15,5,20,3.0,5
Old Brentwoods II,Old Haberdashers,23,11,34,3.0,5
Old Brentwoods II,Old Harrovians II,33,32,65,2.6363636363636362,11
Old Brentwoods II,Old Harrovians III,6,4,10,4.0,3
Old Brentwoods II,Old Johnians FC,2,3,5,4.0,1
Old Brentwoods II,Old Kimboltonians,6,18,24,2.8333333333333335,6
Old Brentwoods II,Old King's Scholars,14,7,21,3.5,4
Old Brentwoods II,Old Kingsburians,1,3,4,3.0,1
